copy_to_clipboard 2Theta I_sum I_diff

  2Theta     I_plus   sI_plus    I_minus  sI_minus      I_sum     I_diff
   24.02  240.24567  22.85387  236.61380  22.70700  476.85947    3.63187
   24.07  241.89490  23.30700  241.22320  23.28600  483.11810    0.67170
   24.12  241.04760  22.84258  243.26950  22.94500  484.31710   -2.22190
   24.17  243.39338  22.90366  247.95430  23.10300  491.34768   -4.56092
   24.22  246.87468  23.75488  252.28630  23.99500  499.16098   -5.41162
   24.27  249.52815  23.53332  247.64680  23.46300  497.17495    1.88135
   24.32  251.52280  23.63479  256.18270  23.83900  507.70550   -4.65990
   24.37  253.69733  23.71817  259.01810  23.94800  512.71543   -5.32077
   24.42  257.35939  23.72725  266.75520  24.11900  524.11459   -9.39581
   24.47  257.07832  23.80025  265.76120  24.16500  522.83952   -8.68288
   24.52  264.59043  22.75591  269.65590  22.95900  534.24633   -5.06547
   24.57  268.63100  23.67013  276.86840  24.00100  545.49940   -8.23740
   24.62  283.26156  28.22028  285.92910  28.35000  569.19066   -2.66754
   24.67  268.33843  26.63063  287.19860  27.46200  555.53703  -18.86017
   24.72  283.67183  24.41097  284.21410  24.44100  567.88593   -0.54227
   24.77  284.25089  23.48447  292.02130  23.77900  576.27219   -7.77041
   24.82  284.04955  25.35810  295.11070  25.80500  579.16025  -11.06115
   24.87  296.37077  25.47421  302.90190  25.73400  599.27267   -6.53113
   24.92  295.18148  25.73191  297.36290  25.82700  592.54438   -2.18142
   24.97  292.36713  25.48929  304.46220  25.96400  596.82933  -12.09507
   25.02  301.41060  25.43579  316.01690  25.98900  617.42750  -14.60630
   25.07  302.43240  25.83000  317.27680  26.39900  619.70920  -14.84440
   25.12  305.36022  26.11716  319.62640  26.66600  624.98662  -14.26618
   25.17  303.27937  25.51639  321.67490  26.20700  624.95427  -18.39553
   25.22  317.30494  27.06233  325.06000  27.36700  642.36494   -7.75506
   25.27  309.64694  25.81721  325.19050  26.39900  634.83744  -15.54356
   25.32  306.18115  26.29127  326.39800  27.06300  632.57915  -20.21685
   25.37  307.03606  25.97915  324.59690  26.64300  631.63296  -17.56084
   25.42  306.60912  26.13425  322.23790  26.73200  628.84702  -15.62878
   25.47  306.23152  26.41600  321.23420  26.99700  627.46572  -15.00268
   25.52  305.29992  26.05480  317.46450  26.52400  622.76442  -12.16458
   25.57  304.56674  25.71276  313.96300  26.07400  618.52974   -9.39626
   25.62  289.10886  25.84136  311.86970  26.74300  600.97856  -22.76084
   25.67  297.37065  25.62315  307.73850  26.02900  605.10915  -10.36785
   25.72  288.66628  26.01209  298.96850  26.43300  587.63478  -10.30222
   25.77  291.89831  25.59089  297.17020  25.80600  589.06851   -5.27189
